x,payoff,value,delta,gamma
0.0001,0.0,1.6744006101970948e-07,0.005741249481465607,4.729967346110133
0.0020177890199453746,0.0,1.936640890530964e-05,0.01428073275392834,4.175582934604237
0.004733450312486844,0.0,7.456724131856393e-05,0.024554265062801867,3.306363994495066
0.007446881122780261,0.0,0.0001526549248327002,0.03223341309346786,2.6088649601474305
0.010158079555383592,0.0,0.00024940613629603314,0.038707377352459924,2.2551376260481097
0.012867088529236155,0.0,0.00036244371222878804,0.044457307705588034,2.0301841979566646
0.01557384474443664,0.0,0.0004901641773691975,0.04970279411438634,1.8684815497342182
0.01827840895416643,0.0,0.0006313904271468674,0.05456856439015795,1.7442304677774558
0.020980772872189482,0.0,0.0007852021423016908,0.059133964233424194,1.6445445367943403
0.02368090471678176,0.0,0.0009508515276717697,0.0634534094836294,1.5620840188009364
0.026378861036330227,0.0,0.0011277200866914115,0.06756639516120938,1.4922898275932042
0.029074602766097708,0.0,0.0013152753628954588,0.07150251274184902,1.4321521713807766
0.03176814477029853,0.0,0.0015130589374532984,0.07528479257410867,1.379586089232685
0.03445951949334507,0.0,0.001720669660084276,0.078931575611153,1.3330932033255412
0.03714867007623356,0.0,0.0019377443081510185,0.08245763164799047,1.2915651068758844
0.039835648506387,0.0,0.0021639649905358517,0.0858752815874726,1.2541590593303837
0.0425204638287256,0.0,0.0023990413277059992,0.08919479229986566,1.2202221492589054
0.045203058313574594,0.0,0.002642702725188341,0.09242478575373536,1.1892395795302626
0.047883499396618144,0.0,0.002894711877536973,0.09557279024858106,1.1607975411024256
0.05056177574531979,0.0,0.003154843572696458,0.09864523079216159,1.13456037232978
0.05323785085876006,0.0,0.0034228864299859657,0.10164768073147556,1.1102520997520422
0.055911780781993846,0.0,0.0036986528079149578,0.10458513533015557,1.0876426844105467
0.05858354905978528,0.0,0.003981960717784285,0.10746193742367882,1.0665394984108865
0.06125313096135515,0.0,0.004272638420943667,0.11028194086109866,1.0467794768357024
0.06392057587221321,0.0,0.00457053242542154,0.11304866843106642,1.0282230958683343
0.06658586692990615,0.0,0.004875491217763328,0.11576522188908489,1.01075079613598
0.06924898173912157,0.0,0.005187370654015406,0.11843439580827342,0.9942591803557654
0.07190996774494487,0.0,0.005506042247805495,0.12105879211698145,0.9786579821371824
0.07456881238116535,0.0,0.005831377352642628,0.12364072302944407,0.9638684826392812
0.07722548617729427,0.0,0.006163251230001631,0.12618228406758947,0.9498215265605872
0.07988003934510572,0.0,0.006501554754109684,0.12868546976824868,0.936455726228175
0.08253246830602569,0.0,0.006846177440763155,0.13115206557000336,0.9237168011063375
0.08518272712786436,0.0,0.007197007895839178,0.13358367855704878,0.9115565419419625
0.08783087348414567,0.0,0.007553952794287498,0.13598188657349652,0.8999314921697454
0.0904769099289742,0.0,0.007916915835445248,0.1383481043699899,0.8888028326167898
0.0931207873088683,0.0,0.008285797269236013,0.14068360047670847,0.8781357573649728
0.09576255283933875,0.0,0.008660514210409443,0.14298963846799184,0.8678985435391091
0.09840221660496438,0.0,0.009040982118447026,0.14526736635099202,0.8580625760559357
0.101039749303683,0.0,0.00942711381810626,0.14751782380866563,0.8486019413508465
0.10367515995308017,0.0,0.00981883049901537,0.14974201600386516,0.8394929444299599
0.10630847697176746,0.0,0.010216059091218336,0.1519409022269529,0.8307139159185937
0.10893969556032752,0.0,0.010618724200848435,0.15411535708054558,0.8222450786051247
0.11156877723218975,0.0,0.011026747523248708,0.15626617600397408,0.8140683842117937
0.11419577339493646,0.0,0.011440066923464885,0.15839418062792632,0.8061670307198163
0.11682068659014277,0.0,0.011858614993525543,0.16050010835658668,0.7985256601186279
0.11944348694722137,0.0,0.012282321090708613,0.16258463043452442,0.7911301496922079
0.12206418810354352,0.0,0.01271112339552753,0.1646484157676933,0.7839673574242099
0.1246828143974738,0.0,0.013144963794163769,0.16669210675743562,0.7770251053520596
0.12729936836558056,0.0,0.013583782407965263,0.16871629642656005,0.7702921123047481
0.12991380318949738,0.0,0.014027512580642066,0.17072151021567183,0.7637580039885634
0.13252616837727818,0.0,0.014476105468801691,0.1727083200935846,0.757412934913873
0.13513646932782405,0.0,0.014929506393270781,0.17467723801110413,0.7512478314737123
0.13774470060686714,0.0,0.01538766020838159,0.17662874369263637,0.7452542112893781
0.14035083044165314,0.0,0.015850508363051487,0.178563275009755,0.7394242109980311
0.14295490411501227,0.0,0.016318007249733184,0.18048130613409263,0.7337503341928056
0.14555692415457874,0.0,0.016790107033997286,0.18238325950693657,0.7282256403436662
0.1481568823639774,0.0,0.017266757093522104,0.18426953131619372,0.7228436113061392
0.15075475445827827,0.0,0.017747904869105244,0.18614048901665203,0.7175981648115908
0.15335058097783671,0.0,0.018233510881562272,0.1879965305035074,0.712483476813162
0.15594436444518345,0.0,0.01872352976436612,0.18983801070232031,0.7074941336315632
0.15853610194916787,0.0,0.019217916114330012,0.19166526625306712,0.7026250196158301
0.16112576059146508,0.0,0.01971661965232628,0.19347859927105526,0.6978713667662362
0.16371338422373247,0.0,0.02021960576066068,0.19527835286890527,0.6932285582024136
0.16629897536336297,0.0,0.020726832867671713,0.19706482881475784,0.6886923011643944
0.16888253652654794,0.0,0.021238260261149364,0.1988383173659125,0.6842585140297004
0.17146403378824993,0.0,0.021753840746942928,0.20059907306463298,0.6799233917994769
0.17404349870501906,0.0,0.0222735409245833,0.20234738498744775,0.6756832392700716
0.1766209416665768,0.0,0.022797324048171464,0.20408351776370193,0.6715345873177512
0.17919636518393472,0.0,0.023325152548307856,0.20580772133919112,0.6674741448541965
